id,name,email,password,phone,gender,role,business_name,gst_number,is_verified,is_online,is_founder,admin_permissions,rating,rating_count,wallet_balance,address,created_at
CUST0001,Arjun Sharma,customer001@example.com,Demo@1000,9000000001,other,customer,Arjun Sharma,,True,False,False,,0,0,0,Gurugram,2026-08-08 00:00:00+00
CUST0002,Rahul Mehta,customer002@example.com,Demo@1001,9000000002,male,customer,Rahul Mehta,,True,False,False,,0,0,0,New Delhi,2026-08-08 00:00:00+00
CUST0003,Kunal Gupta,customer003@example.com,Demo@1002,9000000003,male,customer,Kunal Gupta,,True,False,False,,0,0,0,South Delhi,2026-08-08 00:00:00+00
CUST0004,Arjun Khanna,customer004@example.com,Demo@1003,9000000004,male,customer,Arjun Khanna,,True,False,False,,0,0,0,North Delhi,2026-08-08 00:00:00+00
CUST0005,Shreya Verma,customer005@example.com,Demo@1004,9000000005,male,customer,Shreya Verma,,True,False,False,,0,0,0,Noida,2026-08-08 00:00:00+00
CUST0006,Tanya Malhotra,customer006@example.com,Demo@1005,9000000006,female,customer,Tanya Malhotra,,True,False,False,,0,0,0,Gurugram,2026-08-08 00:00:00+00
CUST0007,Vivaan Sharma,customer007@example.com,Demo@1006,9000000007,female,customer,Vivaan Sharma,,True,False,False,,0,0,0,Ghaziabad,2026-08-08 00:00:00+00
CUST0008,Aditya Mehta,customer008@example.com,Demo@1007,9000000008,female,customer,Aditya Mehta,,True,False,False,,0,0,0,New Delhi,2026-08-08 00:00:00+00
CUST0009,Kunal Bansal,customer009@example.com,Demo@1008,9000000009,male,customer,Kunal Bansal,,True,False,False,,0,0,0,West Delhi,2026-08-08 00:00:00+00
CUST0010,Simran Sharma,customer010@example.com,Demo@1009,9000000010,female,customer,Simran Sharma,,True,False,False,,0,0,0,New Delhi,2026-08-08 00:00:00+00
CUST0011,Shreya Mehta,customer011@example.com,Demo@1010,9000000011,male,customer,Shreya Mehta,,True,False,False,,0,0,0,North Delhi,2026-08-08 00:00:00+00
CUST0012,Shreya Malhotra,customer012@example.com,Demo@1011,9000000012,male,customer,Shreya Malhotra,,True,False,False,,0,0,0,West Delhi,2026-08-08 00:00:00+00
CUST0013,Kunal Jain,customer013@example.com,Demo@1012,9000000013,female,customer,Kunal Jain,,True,False,False,,0,0,0,New Delhi,2026-08-08 00:00:00+00
CUST0014,Tanya Singh,customer014@example.com,Demo@1013,9000000014,male,customer,Tanya Singh,,True,False,False,,0,0,0,North Delhi,2026-08-08 00:00:00+00
CUST0015,Aarav Sethi,customer015@example.com,Demo@1014,9000000015,female,customer,Aarav Sethi,,True,False,False,,0,0,0,Gurugram,2026-08-08 00:00:00+00
CUST0016,Rohan Chopra,customer016@example.com,Demo@1015,9000000016,female,customer,Rohan Chopra,,True,False,False,,0,0,0,Central Delhi,2026-08-08 00:00:00+00
CUST0017,Meera Kapoor,customer017@example.com,Demo@1016,9000000017,female,customer,Meera Kapoor,,True,False,False,,0,0,0,North Delhi,2026-08-08 00:00:00+00
CUST0018,Rahul Gupta,customer018@example.com,Demo@1017,9000000018,female,customer,Rahul Gupta,,True,False,False,,0,0,0,Gurugram,2026-08-08 00:00:00+00
CUST0019,Yash Sethi,customer019@example.com,Demo@1018,9000000019,female,customer,Yash Sethi,,True,False,False,,0,0,0,Greater Noida,2026-08-08 00:00:00+00
CUST0020,Aanya Verma,customer020@example.com,Demo@1019,9000000020,other,customer,Aanya Verma,,True,False,False,,0,0,0,New Delhi,2026-08-08 00:00:00+00
CUST0021,Aditya Malhotra,customer021@example.com,Demo@1020,9000000021,other,customer,Aditya Malhotra,,True,False,False,,0,0,0,Greater Noida,2026-08-08 00:00:00+00
CUST0022,Arjun Kapoor,customer022@example.com,Demo@1021,9000000022,other,customer,Arjun Kapoor,,True,False,False,,0,0,0,Gurugram,2026-08-08 00:00:00+00
CUST0023,Ishita Agarwal,customer023@example.com,Demo@1022,9000000023,other,customer,Ishita Agarwal,,True,False,False,,0,0,0,East Delhi,2026-08-08 00:00:00+00
CUST0024,Rahul Sethi,customer024@example.com,Demo@1023,9000000024,other,customer,Rahul Sethi,,True,False,False,,0,0,0,New Delhi,2026-08-08 00:00:00+00
CUST0025,Vivaan Chopra,customer025@example.com,Demo@1024,9000000025,female,customer,Vivaan Chopra,,True,False,False,,0,0,0,Faridabad,2026-08-08 00:00:00+00
CUST0026,Nisha Bansal,customer026@example.com,Demo@1025,9000000026,male,customer,Nisha Bansal,,True,False,False,,0,0,0,South Delhi,2026-08-08 00:00:00+00
CUST0027,Arjun Mishra,customer027@example.com,Demo@1026,9000000027,male,customer,Arjun Mishra,,True,False,False,,0,0,0,New Delhi,2026-08-08 00:00:00+00
CUST0028,Diya Verma,customer028@example.com,Demo@1027,9000000028,female,customer,Diya Verma,,True,False,False,,0,0,0,New Delhi,2026-08-08 00:00:00+00
CUST0029,Shreya Singh,customer029@example.com,Demo@1028,9000000029,male,customer,Shreya Singh,,True,False,False,,0,0,0,Greater Noida,2026-08-08 00:00:00+00
CUST0030,Simran Mishra,customer030@example.com,Demo@1029,9000000030,male,customer,Simran Mishra,,True,False,False,,0,0,0,Gurugram,2026-08-08 00:00:00+00
CUST0031,Ishita Agarwal,customer031@example.com,Demo@1030,9000000031,other,customer,Ishita Agarwal,,True,False,False,,0,0,0,Greater Noida,2026-08-08 00:00:00+00
CUST0032,Yash Chopra,customer032@example.com,Demo@1031,9000000032,other,customer,Yash Chopra,,True,False,False,,0,0,0,Noida,2026-08-08 00:00:00+00
CUST0033,Aditya Sharma,customer033@example.com,Demo@1032,9000000033,other,customer,Aditya Sharma,,True,False,False,,0,0,0,Central Delhi,2026-08-08 00:00:00+00
CUST0034,Kunal Sethi,customer034@example.com,Demo@1033,9000000034,male,customer,Kunal Sethi,,True,False,False,,0,0,0,Bahadurgarh,2026-08-08 00:00:00+00
CUST0035,Ananya Verma,customer035@example.com,Demo@1034,9000000035,other,customer,Ananya Verma,,True,False,False,,0,0,0,East Delhi,2026-08-08 00:00:00+00
CUST0036,Kunal Arora,customer036@example.com,Demo@1035,9000000036,female,customer,Kunal Arora,,True,False,False,,0,0,0,Central Delhi,2026-08-08 00:00:00+00
CUST0037,Arjun Malhotra,customer037@example.com,Demo@1036,9000000037,male,customer,Arjun Malhotra,,True,False,False,,0,0,0,Greater Noida,2026-08-08 00:00:00+00
CUST0038,Rahul Jain,customer038@example.com,Demo@1037,9000000038,male,customer,Rahul Jain,,True,False,False,,0,0,0,Gurugram,2026-08-08 00:00:00+00
CUST0039,Ishita Gupta,customer039@example.com,Demo@1038,9000000039,other,customer,Ishita Gupta,,True,False,False,,0,0,0,Ghaziabad,2026-08-08 00:00:00+00
CUST0040,Ishita Kapoor,customer040@example.com,Demo@1039,9000000040,female,customer,Ishita Kapoor,,True,False,False,,0,0,0,Central Delhi,2026-08-08 00:00:00+00
CUST0041,Yash Khanna,customer041@example.com,Demo@1040,9000000041,other,customer,Yash Khanna,,True,False,False,,0,0,0,Noida,2026-08-08 00:00:00+00
CUST0042,Rahul Chopra,customer042@example.com,Demo@1041,9000000042,other,customer,Rahul Chopra,,True,False,False,,0,0,0,New Delhi,2026-08-08 00:00:00+00
CUST0043,Aditya Agarwal,customer043@example.com,Demo@1042,9000000043,male,customer,Aditya Agarwal,,True,False,False,,0,0,0,North Delhi,2026-08-08 00:00:00+00
CUST0044,Rohan Bansal,customer044@example.com,Demo@1043,9000000044,male,customer,Rohan Bansal,,True,False,False,,0,0,0,South Delhi,2026-08-08 00:00:00+00
CUST0045,Kunal Gupta,customer045@example.com,Demo@1044,9000000045,other,customer,Kunal Gupta,,True,False,False,,0,0,0,New Delhi,2026-08-08 00:00:00+00
CUST0046,Nisha Malhotra,customer046@example.com,Demo@1045,9000000046,male,customer,Nisha Malhotra,,True,False,False,,0,0,0,North Delhi,2026-08-08 00:00:00+00
